Year,Country,Population,Refugee,Continent
2008,Afghanistan,26528741,,Asia
2008,Albania,2947314,,Europe
2008,Algeria,34811059,,Africa
2008,Angola,19842251,,Africa
2008,Antigua/Barbuda,85350,,North America
2008,Argentina,40381860,,South America
2008,Armenia,2975029,,Asia
2008,Aruba,101342,,North America
2008,Australia,21249200,74,Oceania
2008,Austria,8321496,333,Europe
2008,Azerbaijan,8763400,,Asia
2008,Bahamas,348587,,North America
2008,Bahrain,1115777,,Asia
2008,Bangladesh,148252473,,Asia
2008,Barbados,277315,,North America
2008,Belarus,9528000,,Europe
2008,Belgium,10709973,152,Europe
2008,Belize,306165,,North America
2008,Benin,8973525,1,Africa
2008,Bhutan,694990,,Asia
2008,Bolivia,9599916,,South America
2008,Bonaire,,,North America
2008,Bosnia and Herzegovina,3839749,1,Europe
2008,Botswana,1967866,,Africa
2008,Brazil,194769696,5,South America
2008,British Virgin Islands,,,North America
2008,Brunei Darussalam,380786,,Asia
2008,Bulgaria,7492561,86,Europe
2008,Burkina Faso,14709011,,Africa
2008,Burundi ,14709011,,Africa
2008,Cabo Verde,483824,,Africa
2008,Cambodia,13933660,,Asia
2008,Cameroon,19570418,,Africa
2008,Canada,33245773,603,North America
2008,Cayman Islands,52925,,North America
2008,Central African Rep,4280405,,Africa
2008,Chad,11139740,,Africa
2008,Chile,16645940,,South America
2008,China,1324655000,0,Asia
2008,"China, Hong Kong SAR",6957800,,Asia
2008,"China, Macao SAR",507274,,Asia
2008,Colombia,44901660,,South America
2008,Comoros,665414,,Africa
2008,Congo,3832771,,Africa
2008,Costa Rica,4429506,,North America
2008,Cote d'Ivoire,19261647,,Africa
2008,Croatia,4434508,,Europe
2008,Cuba,11290239,,North America
2008,Curacao,145880,,North America
2008,Cyprus,1077010,70,Europe
2008,Czech Rep,10380000,16,Europe
2008,Dem Rep of the Congo,61809278,,Africa
2008,Denmark,5493621,272,Europe
2008,Dijbouti,,,Africa
2008,Dominican Rep,9636491,,North America
2008,Ecuador,14447600,10,South America
2008,Egypt,75490000,9,Africa
2008,El Salvador,6004199,,North America
2008,Equatorial Guinea,686223,,Africa
2008,Eritrea,4500638,,Africa
2008,Estonia,1337090,,Europe
2008,Ethiopia,83079608,,Africa
2008,Fiji,843206,,Oceania
2008,Finland,5313399,50,Europe
2008,France,64374990,233,Europe
2008,French Guiana,,,South America
2008,Gabon,1473741,,Africa
2008,Gambia,1586749,,Africa
2008,Georgia,4030000,,Asia
2008,Germany,82110097,8205,Europe
2008,Ghana,23115919,,Africa
2008,Greece,11077841,39,Europe
2008,Grenada,103934,,North America
2008,Guatemala,14106687,,North America
2008,Guinea,10427356,,Africa
2008,Guinea-Bissau,1561293,,Africa
2008,Guyana,748096,,South America
2008,Haiti,9705130,,North America
2008,Honduras,7259470,,North America
2008,Hungary,10038188,44,Europe
2008,Iceland,317414,1,Europe
2008,India,1197070109,0,Asia
2008,Indonesia,235360765,,Asia
2008,Iran,72530693,,Asia
2008,Iraq,29163327,534,Asia
2008,Ireland,4489544,36,Europe
2008,Israel,7308800,1,Asia
2008,Italy,58826731,110,Europe
2008,Jamaica,2671934,,North America
2008,Japan,128063000,,Asia
2008,Jordan,5786000,44,Asia
2008,Kazakhstan,15674000,,Asia
2008,Kenya,38244442,,Africa
2008,Kuwait,2705290,0,Asia
2008,Kyrgyzstan,5318700,4,Asia
2008,Lao People's Dem Rep,6045439,,Asia
2008,Latvia,2177322,0,Europe
2008,Lebanon,4109389,84,Asia
2008,Lesotho,1972194,,Africa
2008,Liberia,3672782,,Africa
2008,Libya,6123022,0,Africa
2008,Liechtenstein,35721,,Europe
2008,Lithuania,3198231,3,Europe
2008,Luxembourg,488650,,Europe
2008,Madagascar,19926798,,Africa
2008,Malawi,13904671,,Africa
2008,Malaysia,27197419,,Asia
2008,Mali,14223403,,Africa
2008,Malta,409379,11,Europe
2008,Mauritania,3414552,,Africa
2008,Mauritius,1244121,,Africa
2008,Mexico,114972821,,North America
2008,Microneesia (Federate States Of),104472,,Oceania
2008,Monaco,35731,,Europe
2008,Mongolia,2629666,,Asia
2008,Montenegro,616969,,Europe
2008,Montserrat,,,North America
2008,Morocco,31350544,,Africa
2008,Mozambique,22994867,,Africa
2008,Myanmar,51030006,,Asia
2008,Namibia,2115703,,Africa
2008,Nauru,,,Oceania
2008,Nepal,26325183,,Asia
2008,Netherlands,16445593,1326,Europe
2008,New Zealand,4259800,33,Oceania
2008,Nicaragua,5594524,,North America
2008,Niger,242546,,Africa
2008,Nigeria,151115683,,Africa
2008,Norway,4768212,154,Europe
2008,Oman,2652281,7,Asia
2008,Pakistan,163096985,8,Asia
2008,Palau,20227,,Oceania
2008,Panama,3498679,,North America
2008,Papua New Guinea,6540267,,Oceania
2008,Paraguay,6047131,,South America
2008,Peru,28642048,0,South America
2008,Philippines,90297115,,Asia
2008,Poland,38125759,8,Europe
2008,Portugal,10558177,,Europe
2008,Qatar,1388962,7,Asia
2008,Rep of Korea,48948698,,Asia
2008,Rep of Moldova,3570108,12,Europe
2008,Romania,20537875,25,Europe
2008,Russian Federation,142742350,2,Europe
2008,Rwanda,9750314,,Africa
2008,Saint Kitts and Nevis,51093,,North America
2008,Saint Lucia,172729,,North America
2008,Saint Vincent and the Grenadines,109165,,North America
2008,Saudi Arabia,26742842,14,Asia
2008,Senegal,12229703,,Africa
2008,Serbia  and Kosova,9097605,,Europe
2008,Sierra Leone,5521838,,Africa
2008,Singapore,4839396,,Asia
2008,Sint Maarten,40458,,North America
2008,Slovakia,5379233,14,Europe
2008,Slovenia,2021316,,Europe
2008,Solomon Islands,503410,,Oceania
2008,Somalia,9132589,,Africa
2008,South Africa,49344228,,Africa
2008,South Sudan,9208598,,Africa
2008,Spain,45954106,34,Europe
2008,Sri Lanka,20246000,,Asia
2008,State of Palestine,,,Asia
2008,Sudan,34470138,,Africa
2008,Suriname,506657,,South America
2008,Swaziland,1153750,,Africa
2008,Sweden,9219637,1084,Europe
2008,Switzerland,7647675,626,Europe
2008,Syrian Arab Rep.,20097057,,Asia
2008,Tajikistan,7254072,,Asia
2008,Thailand,66453255,1,Asia
2008,Timor-Leste,1030630,,Asia
2008,Togo,6052937,,Africa
2008,Tonga,102816,,Oceania
2008,Trinidad and Tobago,1315372,,North America
2008,Tunisia,10328900,5,Africa
2008,Turkey,70344357,12,Asia
2008,Turkmenistan,4917541,,Asia
2008,Turks and Caicos Islands,29481,,North America
2008,Uganda,33149417,,Africa
2008,Ukraine,46258200,39,Europe
2008,United Arab Emirates,6900142,21,Asia
2008,United Kingdom,61806995,395,Europe
2008,United Rep of Tanzania,42844744,,Africa
2008,United States,304093966,320,North America
2008,Uruguay,3350832,,South America
2008,Uzbekistan,27302800,1,Asia
2008,Vanuatu,225335,,Oceania
2008,Venezuela,28116716,,South America
2008,Viet Nam,85118700,,Asia
2008,Yemen,22322699,32,Asia
2008,Zambia,13114579,,Africa
2008,Zimbabwe,13495462,,Africa
